"","AAPL","TSLA","SPY"
"2023-01-03",123.632522583008,108.099998474121,370.367889404297
"2023-01-04",124.907707214355,113.639999389648,373.227172851562
"2023-01-05",123.583099365234,110.339996337891,368.967407226562
"2023-01-06",128.130233764648,113.059997558594,377.428588867188
"2023-01-09",128.65412902832,119.769996643066,377.214630126953
"2023-01-10",129.227462768555,118.849998474121,379.860046386719
"2023-01-11",131.955749511719,123.220001220703,384.664398193359
"2023-01-12",131.876678466797,123.559997558594,386.064880371094
"2023-01-13",133.211181640625,122.400001525879,387.562652587891
"2023-01-17",134.37760925293,131.490005493164,386.852630615234
"2023-01-18",133.655975341797,128.779998779297,380.745025634766
"2023-01-19",133.715301513672,127.169998168945,377.973266601562
"2023-01-20",136.285415649414,133.419998168945,385.014556884766
"2023-01-23",139.488174438477,143.75,389.634216308594
"2023-01-24",140.891845703125,143.889999389648,389.215972900391
"2023-01-25",140.229568481445,144.429992675781,389.361877441406
"2023-01-26",142.305435180664,160.270004272461,393.641082763672
"2023-01-27",144.25276184082,177.899993896484,394.545532226562
"2023-01-30",141.356460571289,166.660003662109,389.595245361328
"2023-01-31",142.631622314453,173.220001220703,395.323638916016
"2023-02-01",143.758529663086,181.410003662109,399.525054931641
"2023-02-02",149.086608886719,188.270004272461,405.340911865234
"2023-02-03",152.724273681641,189.979995727539,401.032501220703
"2023-02-06",149.986083984375,194.759994506836,398.581726074219
"2023-02-07",152.872528076172,196.809997558594,403.794555664062
"2023-02-08",150.173904418945,201.289993286133,399.379180908203
"2023-02-09",149.135986328125,207.320007324219,395.916900634766
"2023-02-10",149.502304077148,196.889999389648,396.840789794922
"2023-02-13",152.313980102539,194.639999389648,401.499298095703
"2023-02-14",151.670440673828,209.25,401.314575195312
"2023-02-15",153.779174804688,214.240005493164,402.617767333984
"2023-02-16",152.175354003906,202.039993286133,397.074188232422
"2023-02-17",151.026931762695,208.309997558594,396.082183837891
"2023-02-21",146.99755859375,197.369995117188,388.136444091797
"2023-02-22",147.423263549805,200.860000610352,387.601531982422
"2023-02-23",147.90837097168,202.070007324219,389.663360595703
"2023-02-24",145.245254516602,196.880004882812,385.500823974609
"2023-02-27",146.443176269531,207.630004882812,386.813751220703
"2023-02-28",145.938262939453,205.710006713867,385.384124755859
"2023-03-01",143.859222412109,202.770004272461,383.905792236328
"2023-03-02",144.453262329102,190.899993896484,386.891571044922
"2023-03-03",149.522109985352,197.789993286133,393.096466064453
"2023-03-06",152.294158935547,193.809997558594,393.368804931641
"2023-03-07",150.086456298828,187.710006713867,387.338928222656
"2023-03-08",151.34375,182,387.971130371094
"2023-03-09",149.086502075195,172.919998168945,380.813110351562
"2023-03-10",147.017349243164,173.440002441406,375.318206787109
"2023-03-13",148.967712402344,174.479995727539,374.783294677734
"2023-03-14",151.066528320312,183.259994506836,380.978454589844
"2023-03-15",151.462554931641,180.449996948242,378.595672607422
"2023-03-16",154.293991088867,184.130004882812,385.238189697266
"2023-03-17",153.45246887207,180.130004882812,380.733764648438
"2023-03-20",155.828521728516,183.25,384.394744873047
"2023-03-21",157.689727783203,197.580001831055,389.442077636719
"2023-03-22",156.254211425781,191.149993896484,382.803375244141
"2023-03-23",157.343231201172,192.220001220703,383.838256835938
"2023-03-24",158.650039672852,190.410003662109,386.357025146484
"2023-03-27",156.699722290039,191.809997558594,387.079437255859
"2023-03-28",156.07600402832,189.190002441406,386.210601806641
"2023-03-29",159.16487121582,193.880004882812,391.824157714844
"2023-03-30",160.738998413086,195.279998779297,394.118347167969
"2023-03-31",163.253631591797,207.460006713867,399.67333984375
"2023-04-03",164.510940551758,194.770004272461,401.1962890625
"2023-04-04",163.976348876953,192.580001831055,398.970397949219
"2023-04-05",162.124984741211,185.520004272461,397.925811767578
"2023-04-06",163.016052246094,185.059997558594,399.478088378906
"2023-04-10",160.412292480469,184.509994506836,399.888061523438
"2023-04-11",159.194580078125,186.789993286133,399.995483398438
"2023-04-12",158.501586914062,180.539993286133,398.365112304688
"2023-04-13",163.907028198242,185.899993896484,403.656463623047
"2023-04-14",163.560516357422,185,402.670440673828
"2023-04-17",163.580337524414,187.039993286133,404.115325927734
"2023-04-18",164.807952880859,184.309997558594,404.378875732422
"2023-04-19",165.95637512207,180.589996337891,404.310546875
"2023-04-20",164.986145019531,162.990005493164,402.104187011719
"2023-04-21",163.372451782227,165.080001831055,402.416625976562
"2023-04-24",163.679336547852,162.550003051758,402.83642578125
"2023-04-25",162.134902954102,160.669998168945,396.441864013672
"2023-04-26",162.124984741211,153.75,394.762664794922
"2023-04-27",166.728607177734,160.190002441406,402.621643066406
"2023-04-28",167.985916137695,164.309997558594,406.058044433594
"2023-05-01",167.89680480957,161.830001831055,405.648071289062
"2023-05-02",166.857284545898,160.309997558594,401.088897705078
"2023-05-03",165.778198242188,160.610000610352,398.335845947266
"2023-05-04",164.134750366211,161.199996948242,395.514373779297
"2023-05-05",171.83708190918,170.059997558594,402.83642578125
"2023-05-08",171.767791748047,171.789993286133,402.943756103516
"2023-05-09",170.055038452148,169.149993896484,401.1767578125
"2023-05-10",171.8271484375,168.539993286133,403.051177978516
"2023-05-11",172.015274047852,172.080001831055,402.348236083984
"2023-05-12",171.083358764648,167.979995727539,401.821044921875
"2023-05-15",170.587677001953,166.350006103516,403.207366943359
"2023-05-16",170.587677001953,166.520004272461,400.512878417969
"2023-05-17",171.202331542969,173.860000610352,405.374694824219
"2023-05-18",173.5419921875,176.889999389648,409.27978515625
"2023-05-19",173.65104675293,180.139999389648,408.684234619141
"2023-05-22",172.699310302734,188.869995117188,408.850219726562
"2023-05-23",170.082077026367,185.770004272461,404.26171875
"2023-05-24",170.359649658203,182.899993896484,401.332946777344
"2023-05-25",171.499740600586,184.470001220703,404.808471679688
"2023-05-26",173.918731689453,193.169998168945,410.051025390625
"2023-05-30",175.772613525391,201.160003662109,410.207183837891
